                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.35632,                0.92701,                      1,                0.40986,              0.0002368,              0.0002368,              0.0002368
                      2,                0.08069,                0.93929,                      1,                0.37553,              0.0004701,              0.0004701,              0.0004701
                      3,                0.04918,                0.97385,                      1,                0.34979,             0.00069868,             0.00069868,             0.00069868
                      4,                0.03617,                0.96976,                      1,                 0.3483,             0.00069279,             0.00069279,             0.00069279
                      5,                0.02757,                0.93702,                      1,                0.37614,             0.00069279,             0.00069279,             0.00069279
                      6,                0.02088,                0.95362,                      1,                0.35857,             0.00068573,             0.00068573,             0.00068573
                      7,                0.00969,                0.97294,                      1,                0.34202,             0.00067866,             0.00067866,             0.00067866
                      8,                0.01611,                0.97522,                      1,                 0.3401,             0.00067159,             0.00067159,             0.00067159
                      9,                0.01789,                0.97226,                      1,                0.34256,             0.00066452,             0.00066452,             0.00066452
                     10,                 0.0092,                0.97362,                      1,                0.34102,             0.00065745,             0.00065745,             0.00065745
                     11,                0.01028,                0.97112,                      1,                0.34263,             0.00065038,             0.00065038,             0.00065038
                     12,                0.01644,                0.93338,                      1,                0.37623,             0.00064331,             0.00064331,             0.00064331
                     13,                0.01287,                0.91996,                      1,                0.38938,             0.00063625,             0.00063625,             0.00063625
                     14,                0.01909,                0.95293,                      1,                0.36022,             0.00062918,             0.00062918,             0.00062918
                     15,                0.00766,                0.96794,                      1,                0.34532,             0.00062211,             0.00062211,             0.00062211
                     16,                0.01095,                0.96794,                      1,                0.34854,             0.00061504,             0.00061504,             0.00061504
                     17,                0.00759,                0.97271,                      1,                0.34077,             0.00060797,             0.00060797,             0.00060797
                     18,                0.00689,                0.97567,                      1,                0.33867,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00438,                0.96021,                      1,                0.35254,             0.00059383,             0.00059383,             0.00059383
                     20,                0.00454,                0.97999,                      1,                0.33613,             0.00058677,             0.00058677,             0.00058677
                     21,                0.00195,                0.96498,                      1,                 0.3493,              0.0005797,              0.0005797,              0.0005797
                     22,                0.00214,                0.94702,                      1,                0.36541,             0.00057263,             0.00057263,             0.00057263
                     23,                0.00925,                0.97499,                      1,                0.34048,             0.00056556,             0.00056556,             0.00056556
                     24,                0.00627,                0.98022,                      1,                0.33568,             0.00055849,             0.00055849,             0.00055849
                     25,                0.00753,                0.89836,                      1,                 0.4093,             0.00055142,             0.00055142,             0.00055142
                     26,                0.00693,                0.97362,                      1,                0.34067,             0.00054435,             0.00054435,             0.00054435
                     27,                0.00844,                0.82447,                      1,                0.47621,             0.00053728,             0.00053728,             0.00053728
                     28,                0.00988,                0.97294,                      1,                  0.342,             0.00053022,             0.00053022,             0.00053022
                     29,                0.00219,                0.97112,                      1,                0.34289,             0.00052315,             0.00052315,             0.00052315
                     30,                0.00116,                0.97249,                      1,                0.34339,             0.00051608,             0.00051608,             0.00051608
                     31,                0.00227,                0.96066,                      1,                0.35352,             0.00050901,             0.00050901,             0.00050901
                     32,                0.00334,                0.95998,                      1,                0.35312,             0.00050194,             0.00050194,             0.00050194
                     33,                0.00433,                0.90564,                      1,                0.39952,             0.00049487,             0.00049487,             0.00049487
                     34,                0.00415,                0.85562,                      1,                0.44744,              0.0004878,              0.0004878,              0.0004878
                     35,                0.00913,                0.91974,                      1,                 0.3875,             0.00048074,             0.00048074,             0.00048074
                     36,                0.00888,                0.93361,                      1,                0.37629,             0.00047367,             0.00047367,             0.00047367
                     37,                0.00833,                0.95566,                      1,                0.35527,              0.0004666,              0.0004666,              0.0004666
                     38,                0.00242,                0.95953,                      1,                0.35437,             0.00045953,             0.00045953,             0.00045953
                     39,                0.00361,                0.97249,                      1,                0.34461,             0.00045246,             0.00045246,             0.00045246
                     40,                0.00195,                0.93724,                      1,                0.37313,             0.00044539,             0.00044539,             0.00044539
                     41,                0.00138,                 0.9643,                      1,                0.34993,             0.00043832,             0.00043832,             0.00043832
                     42,                0.00397,                0.93179,                      1,                0.37946,             0.00043126,             0.00043126,             0.00043126
                     43,                0.00178,                0.97044,                      1,                0.34471,             0.00042419,             0.00042419,             0.00042419
                     44,                0.00736,                0.92929,                      1,                0.38107,             0.00041712,             0.00041712,             0.00041712
                     45,                0.00287,                 0.9477,                      1,                0.36658,             0.00041005,             0.00041005,             0.00041005
                     46,                0.00245,                0.95566,                      1,                0.35704,             0.00040298,             0.00040298,             0.00040298
                     47,                0.00094,                0.94748,                      1,                0.36491,             0.00039591,             0.00039591,             0.00039591
                     48,                 0.0013,                0.96612,                      1,                0.34842,             0.00038884,             0.00038884,             0.00038884
                     49,                0.00372,                 0.9502,                      1,                0.36076,             0.00038178,             0.00038178,             0.00038178
                     50,                0.00149,                0.95134,                      1,                0.36019,             0.00037471,             0.00037471,             0.00037471
                     51,                0.00667,                0.95111,                      1,                0.35879,             0.00036764,             0.00036764,             0.00036764
                     52,                0.00597,                0.97067,                      1,                0.34479,             0.00036057,             0.00036057,             0.00036057
                     53,                0.00196,                0.93997,                      1,                0.36867,              0.0003535,              0.0003535,              0.0003535
                     54,                0.00196,                0.96453,                      1,                0.34856,             0.00034643,             0.00034643,             0.00034643
                     55,                0.00347,                0.96066,                      1,                0.35162,             0.00033936,             0.00033936,             0.00033936
                     56,                0.00077,                 0.9302,                      1,                0.37865,              0.0003323,              0.0003323,              0.0003323
                     57,                0.00107,                0.93088,                      1,                   0.38,             0.00032523,             0.00032523,             0.00032523
                     58,                 0.0005,                0.93497,                      1,                0.37617,             0.00031816,             0.00031816,             0.00031816
                     59,                0.00148,                 0.9352,                      1,                0.37687,             0.00031109,             0.00031109,             0.00031109
                     60,                0.00044,                 0.9327,                      1,                0.37623,             0.00030402,             0.00030402,             0.00030402
                     61,                0.00045,                0.93588,                      1,                0.37513,             0.00029695,             0.00029695,             0.00029695
                     62,                0.00022,                 0.9452,                      1,                0.36265,             0.00028988,             0.00028988,             0.00028988
                     63,                0.00078,                0.90996,                      1,                0.39854,             0.00028282,             0.00028282,             0.00028282
                     64,                0.00221,                0.96135,                      1,                0.35107,             0.00027575,             0.00027575,             0.00027575
                     65,                0.00108,                0.94884,                      1,                0.36045,             0.00026868,             0.00026868,             0.00026868
                     66,                0.00022,                0.95452,                      1,                0.35505,             0.00026161,             0.00026161,             0.00026161
                     67,                 0.0009,                0.94952,                      1,                0.36088,             0.00025454,             0.00025454,             0.00025454
                     68,                0.00111,                0.94429,                      1,                0.36451,             0.00024747,             0.00024747,             0.00024747
                     69,                0.00025,                0.94975,                      1,                0.35967,              0.0002404,              0.0002404,              0.0002404
                     70,                0.00189,                0.93906,                      1,                0.37123,             0.00023334,             0.00023334,             0.00023334
                     71,                0.00118,                0.96407,                      1,                0.34859,             0.00022627,             0.00022627,             0.00022627
                     72,                0.00104,                0.94611,                      1,                0.36244,              0.0002192,              0.0002192,              0.0002192
                     73,                0.00069,                0.95521,                      1,                0.35554,             0.00021213,             0.00021213,             0.00021213
                     74,                 0.0003,                0.95953,                      1,                0.35051,             0.00020506,             0.00020506,             0.00020506
                     75,                0.00102,                0.95771,                      1,                0.35306,             0.00019799,             0.00019799,             0.00019799
                     76,                0.00031,                 0.9518,                      1,                0.35714,             0.00019092,             0.00019092,             0.00019092
                     77,                0.00064,                0.94952,                      1,                 0.3607,             0.00018385,             0.00018385,             0.00018385
                     78,                0.00033,                0.94634,                      1,                0.36225,             0.00017679,             0.00017679,             0.00017679
                     79,                 0.0009,                0.96135,                      1,                0.35095,             0.00016972,             0.00016972,             0.00016972
                     80,                0.00169,                0.95953,                      1,                0.35217,             0.00016265,             0.00016265,             0.00016265
                     81,                0.00209,                0.96385,                      1,                0.34854,             0.00015558,             0.00015558,             0.00015558
                     82,                0.00129,                0.97249,                      1,                0.34136,             0.00014851,             0.00014851,             0.00014851
                     83,                0.00031,                0.95953,                      1,                0.35175,             0.00014144,             0.00014144,             0.00014144
                     84,                0.00046,                0.95339,                      1,                0.35514,             0.00013437,             0.00013437,             0.00013437
                     85,                0.00103,                 0.9452,                      1,                0.36457,             0.00012731,             0.00012731,             0.00012731
                     86,                0.00036,                0.95521,                      1,                0.35555,             0.00012024,             0.00012024,             0.00012024
                     87,                0.00031,                0.95225,                      1,                0.35789,             0.00011317,             0.00011317,             0.00011317
                     88,                0.00042,                0.96317,                      1,                0.34924,              0.0001061,              0.0001061,              0.0001061
                     89,                0.00016,                0.96771,                      1,                0.34619,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                 0.0002,                0.96453,                      1,                  0.349,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.00014,                0.96089,                      1,                0.35092,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.00024,                0.95975,                      1,                0.35264,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.00059,                0.95975,                      1,                0.35189,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.00031,                0.96226,                      1,                0.34883,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.00017,                 0.9668,                      1,                0.34499,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.00039,                0.96203,                      1,                0.34892,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.00011,                0.96089,                      1,                0.34933,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.00043,                0.96066,                      1,                0.34959,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.00051,                0.96339,                      1,                0.34756,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.00035,                0.96066,                      1,                0.34964,             2.1277e-05,             2.1277e-05,             2.1277e-05
